The nomenclature for the integrals is $1 1s$, $2 2s$, $3 3s$ and $4 4s$, with no
spin degrees of freedom. 

 11 11    5*Z/8
 11 12    4096*sqrt(2)*Z/64827
 11 13    1269*sqrt(3)*Z/50000
 11 14    416415744*Z/15083778125
 11 21    4096*sqrt(2)*Z/64827
 11 22    16*Z/729
 11 23    110592*sqrt(6)*Z/24137569
 11 24    98304*sqrt(2)*Z/19487171
 11 31    1269*sqrt(3)*Z/50000
 11 32    110592*sqrt(6)*Z/24137569
 11 33    189*Z/32768
 11 34    1808400384*sqrt(3)*Z/852891037441
 11 41    416415744*Z/15083778125
 11 42    98304*sqrt(2)*Z/19487171
 11 43    1808400384*sqrt(3)*Z/852891037441
 11 44    22848*Z/9765625
 12 11    4096*sqrt(2)*Z/64827
 12 12    17*Z/81
 12 13    1555918848*sqrt(6)*Z/75429903125
 12 14    288456704*sqrt(2)*Z/14206147659
 12 21    16*Z/729
 12 22    512*sqrt(2)*Z/84375
 12 23    2160*sqrt(3)*Z/823543
 12 24    376832*Z/129140163
 12 31    110592*sqrt(6)*Z/24137569
 12 32    29943*sqrt(3)*Z/13176688
 12 33    1216512*sqrt(2)*Z/815730721
 12 34    423788544*sqrt(6)*Z/762939453125
 12 41    98304*sqrt(2)*Z/19487171
 12 42    108838912*Z/44840334375
 12 43    10148806656*sqrt(6)*Z/19073486328125
 12 44    39*Z/32768*sqrt(2)
 13 11    1269*sqrt(3)*Z/50000
 13 12    1555918848*sqrt(6)*Z/75429903125
 13 13    815*Z/8192
 13 14    11694850770862080*sqrt(3)*Z/702392443647273463
 13 21    110592*sqrt(6)*Z/24137569
 13 22    2160*sqrt(3)*Z/823543
 13 23    37826560*sqrt(2)*Z/22024729467
 13 24    487489536*sqrt(6)*Z/762939453125
 13 31    189*Z/32768
 13 32    1216512*sqrt(2)*Z/815730721
 13 33    617*Z/314928*sqrt(3)
 13 34    30254432256*Z/41426511213649
 13 41    1808400384*sqrt(3)*Z/852891037441
 13 42    10148806656*sqrt(6)*Z/19073486328125
 13 43    90581886173184*Z/129457847542653125
 13 44    74450880*sqrt(3)*Z/285311670611
 14 11    416415744*Z/15083778125
 14 12    288456704*sqrt(2)*Z/14206147659
 14 13    11694850770862080*sqrt(3)*Z/702392443647273463
 14 14    22513*Z/390625
 14 21    98304*sqrt(2)*Z/19487171
 14 22    376832*Z/129140163
 14 23    487489536*sqrt(6)*Z/762939453125
 14 24    5053*Z/3538944*sqrt(2)
 14 31    1808400384*sqrt(3)*Z/852891037441
 14 32    423788544*sqrt(6)*Z/762939453125
 14 33    30254432256*Z/41426511213649
 14 34    1243165779*sqrt(3)*Z/4564986729776
 14 41    22848*Z/9765625
 14 42    39*Z/32768*sqrt(2)
 14 43    74450880*sqrt(3)*Z/285311670611
 14 44    1804351488*Z/6179146071875
 21 11    4096*sqrt(2)*Z/64827
 21 12    16*Z/729
 21 13    110592*sqrt(6)*Z/24137569
 21 14    98304*sqrt(2)*Z/19487171
 21 21    17*Z/81
 21 22    512*sqrt(2)*Z/84375
 21 23    29943*sqrt(3)*Z/13176688
 21 24    108838912*Z/44840334375
 21 31    1555918848*sqrt(6)*Z/75429903125
 21 32    2160*sqrt(3)*Z/823543
 21 33    1216512*sqrt(2)*Z/815730721
 21 34    10148806656*sqrt(6)*Z/19073486328125
 21 41    288456704*sqrt(2)*Z/14206147659
 21 42    376832*Z/129140163
 21 43    423788544*sqrt(6)*Z/762939453125
 21 44    39*Z/32768*sqrt(2)
 22 11    16*Z/729
 22 12    512*sqrt(2)*Z/84375
 22 13    2160*sqrt(3)*Z/823543
 22 14    376832*Z/129140163
 22 21    512*sqrt(2)*Z/84375
 22 22    77*Z/512
 22 23    5870679552*sqrt(6)*Z/669871503125
 22 24    31363072*sqrt(2)*Z/4202539929
 22 31    2160*sqrt(3)*Z/823543
 22 32    5870679552*sqrt(6)*Z/669871503125
 22 33    73008*Z/9765625
 22 34    14739259392*sqrt(3)*Z/6131066257801
 22 41    376832*Z/129140163
 22 42    31363072*sqrt(2)*Z/4202539929
 22 43    14739259392*sqrt(3)*Z/6131066257801
 22 44    424*Z/177147
 23 11    110592*sqrt(6)*Z/24137569
 23 12    2160*sqrt(3)*Z/823543
 23 13    37826560*sqrt(2)*Z/22024729467
 23 14    487489536*sqrt(6)*Z/762939453125
 23 21    29943*sqrt(3)*Z/13176688
 23 22    5870679552*sqrt(6)*Z/669871503125
 23 23    32857*Z/390625
 23 24    55508689880137728*sqrt(3)*Z/5049196699148208943
 23 31    1216512*sqrt(2)*Z/815730721
 23 32    73008*Z/9765625
 23 33    6890942464*sqrt(2/3)*Z/1210689028125
 23 34    69158928384*sqrt(2)*Z/34271896307633
 23 41    423788544*sqrt(6)*Z/762939453125
 23 42    14739259392*sqrt(3)*Z/6131066257801
 23 43    36645380390912*sqrt(2)*Z/24984212408264457
 23 44    145503*sqrt(3/2)*Z/134217728
 24 11    98304*sqrt(2)*Z/19487171
 24 12    376832*Z/129140163
 24 13    487489536*sqrt(6)*Z/762939453125
 24 14    5053*Z/3538944*sqrt(2)
 24 21    108838912*Z/44840334375
 24 22    31363072*sqrt(2)*Z/4202539929
 24 23    55508689880137728*sqrt(3)*Z/5049196699148208943
 24 24    4043*Z/78732
 24 31    10148806656*sqrt(6)*Z/19073486328125
 24 32    14739259392*sqrt(3)*Z/6131066257801
 24 33    69158928384*sqrt(2)*Z/34271896307633
 24 34    2496169683*sqrt(3/2)*Z/1677721600000
 24 41    39*Z/32768*sqrt(2)
 24 42    424*Z/177147
 24 43    145503*sqrt(3/2)*Z/134217728
 24 44    21252608*sqrt(2)*Z/35595703125
 31 11    1269*sqrt(3)*Z/50000
 31 12    110592*sqrt(6)*Z/24137569
 31 13    189*Z/32768
 31 14    1808400384*sqrt(3)*Z/852891037441
 31 21    1555918848*sqrt(6)*Z/75429903125
 31 22    2160*sqrt(3)*Z/823543
 31 23    1216512*sqrt(2)*Z/815730721
 31 24    10148806656*sqrt(6)*Z/19073486328125
 31 31    815*Z/8192
 31 32    37826560*sqrt(2)*Z/22024729467
 31 33    617*Z/314928*sqrt(3)
 31 34    90581886173184*Z/129457847542653125
 31 41    11694850770862080*sqrt(3)*Z/702392443647273463
 31 42    487489536*sqrt(6)*Z/762939453125
 31 43    30254432256*Z/41426511213649
 31 44    74450880*sqrt(3)*Z/285311670611
 32 11    110592*sqrt(6)*Z/24137569
 32 12    29943*sqrt(3)*Z/13176688
 32 13    1216512*sqrt(2)*Z/815730721
 32 14    423788544*sqrt(6)*Z/762939453125
 32 21    2160*sqrt(3)*Z/823543
 32 22    5870679552*sqrt(6)*Z/669871503125
 32 23    73008*Z/9765625
 32 24    14739259392*sqrt(3)*Z/6131066257801
 32 31    37826560*sqrt(2)*Z/22024729467
 32 32    32857*Z/390625
 32 33    6890942464*sqrt(2/3)*Z/1210689028125
 32 34    36645380390912*sqrt(2)*Z/24984212408264457
 32 41    487489536*sqrt(6)*Z/762939453125
 32 42    55508689880137728*sqrt(3)*Z/5049196699148208943
 32 43    69158928384*sqrt(2)*Z/34271896307633
 32 44    145503*sqrt(3/2)*Z/134217728
 33 11    189*Z/32768
 33 12    1216512*sqrt(2)*Z/815730721
 33 13    617*Z/314928*sqrt(3)
 33 14    30254432256*Z/41426511213649
 33 21    1216512*sqrt(2)*Z/815730721
 33 22    73008*Z/9765625
 33 23    6890942464*sqrt(2/3)*Z/1210689028125
 33 24    69158928384*sqrt(2)*Z/34271896307633
 33 31    617*Z/314928*sqrt(3)
 33 32    6890942464*sqrt(2/3)*Z/1210689028125
 33 33    17*Z/256
 33 34    2486755845603328*Z/158298797548828125*sqrt(3)
 33 41    30254432256*Z/41426511213649
 33 42    69158928384*sqrt(2)*Z/34271896307633
 33 43    2486755845603328*Z/158298797548828125*sqrt(3)
 33 44    2560158144*Z/678223072849
 34 11    1808400384*sqrt(3)*Z/852891037441
 34 12    423788544*sqrt(6)*Z/762939453125
 34 13    30254432256*Z/41426511213649
 34 14    1243165779*sqrt(3)*Z/4564986729776
 34 21    10148806656*sqrt(6)*Z/19073486328125
 34 22    14739259392*sqrt(3)*Z/6131066257801
 34 23    69158928384*sqrt(2)*Z/34271896307633
 34 24    2496169683*sqrt(3/2)*Z/1677721600000
 34 31    90581886173184*Z/129457847542653125
 34 32    36645380390912*sqrt(2)*Z/24984212408264457
 34 33    2486755845603328*Z/158298797548828125*sqrt(3)
 34 34    621550729*Z/13841287201
 34 41    74450880*sqrt(3)*Z/285311670611
 34 42    145503*sqrt(3/2)*Z/134217728
 34 43    2560158144*Z/678223072849
 34 44    413631006610176000*sqrt(3)*Z/249430673908303812379
 41 11    416415744*Z/15083778125
 41 12    98304*sqrt(2)*Z/19487171
 41 13    1808400384*sqrt(3)*Z/852891037441
 41 14    22848*Z/9765625
 41 21    288456704*sqrt(2)*Z/14206147659
 41 22    376832*Z/129140163
 41 23    423788544*sqrt(6)*Z/762939453125
 41 24    39*Z/32768*sqrt(2)
 41 31    11694850770862080*sqrt(3)*Z/702392443647273463
 41 32    487489536*sqrt(6)*Z/762939453125
 41 33    30254432256*Z/41426511213649
 41 34    74450880*sqrt(3)*Z/285311670611
 41 41    22513*Z/390625
 41 42    5053*Z/3538944*sqrt(2)
 41 43    1243165779*sqrt(3)*Z/4564986729776
 41 44    1804351488*Z/6179146071875
 42 11    98304*sqrt(2)*Z/19487171
 42 12    108838912*Z/44840334375
 42 13    10148806656*sqrt(6)*Z/19073486328125
 42 14    39*Z/32768*sqrt(2)
 42 21    376832*Z/129140163
 42 22    31363072*sqrt(2)*Z/4202539929
